AppName,AppVersion
Adobe Acrobat (64-bit),24.005.20320
Adobe Creative Cloud,6.2.0.554
Adobe Illustrator 2025,29.6
Adobe Illustrator 2024,28.7.8
Adobe Illustrator 2023,27.9.5
Adobe Illustrator 2022,99.99
Adobe Illustrator 2021,99.99
Adobe Illustrator 2020,99.99
Adobe Photoshop 2025,26.5
Adobe Photoshop 2024,25.12.2
Adobe Photoshop 2023,24.7.4
Adobe Photoshop 2022,99.99
Adobe Photoshop 2021,99.99
Adobe Photoshop 2020,99.99
Adobe InDesign 2025,20.4
Adobe InDesign 2024,19.5.4
Adobe InDesign 2023,18.5.2
Adobe InDesign 2022,99.99
Adobe InDesign 2020,99.99
Adobe Media Encoder 2024,24.6.4
Adobe Media Encoder 2023,23.6.5
Adobe Media Encoder 2022,99.99
Adobe Premiere Pro 2025,25.2
Adobe Premiere Pro 2024,24.6.5
Adobe Premiere Rush,2.10
Adobe Premiere Pro 2024,24.5
Adobe Bridge 2024,14.1.6
Adobe Bridge 2020,99.99
Adobe Bridge 2019,99.99
Adobe Fuse CC (Beta),99.99
