AppName,AppVersion
Adobe Acrobat (64-bit),23.008.20555
Adobe Creative Cloud,6.3.0.207
Adobe Illustrator 2024,28.6
Adobe InDesign 2024,19.5
Adobe Media Encoder 2024,24.5
Adobe Photoshop 2024,25.11.0.706
Adobe Premiere Pro 2024,24.5
Adobe Premiere Rush,2.10
Adobe Media Encoder 2024,24.5
Adobe Premiere Pro 2024,24.5
Adobe Bridge 2024,14.1.2
Adobe InDesign 2023,99.99
Adobe Illustrator 2023,99.99
Adobe Illustrator 2021,99.99
Adobe Illustrator 2022,99.99
Adobe InDesign 2022,99.99
Adobe Photoshop 2022,99.99
Adobe Media Encoder 2022,99.99
Adobe Media Encoder 2023,99.99
Adobe InDesign 2020,99.99
Adobe Bridge 2019,99.99
Adobe Bridge 2020,99.99
Adobe Dimension,99.99
Adobe Fuse CC (Beta),99.99
Adobe Illustrator 2020,99.99
Adobe InDesign 2020,99.99
Adobe Photoshop 2020,99.99
